CARLOS RIBEIRO;23888;PARTIDO POPULAR SOCIALISTA;PSC / PPS;1628	
PROFESSOR ELIELSON SANTANA;15000;PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO;PMDB;1623	
BOSCO CARVALHO;20000;PARTIDO SOCIAL CRISTAO;PSC / PPS;1572	
ALEXANDRE MARIANO;23500;PARTIDO POPULAR SOCIALISTA;PSC / PPS;1569	
IRMAO MARINHO;25800;DEMOCRATAS;DEM;1559	
CAIRO PRADO;70789;PARTIDO TRABALHISTA DO BRASIL;PSDC / PT do B;1553	
CELSO MOTOTAXI;36444;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;1540	
ETIVALDO QUIRINO;70222;PARTIDO TRABALHISTA DO BRASIL;PSDC / PT do B;1536	
DEOLINDO;13111;PARTIDO DOS TRABALHADORES;PT;1521	
ARISTIDES PEREIRA;40605;PARTIDO SOCIALISTA BRASILEIRO;PRB / PMN / PSB;1490	
RAIMUNDO LIMA;70123;PARTIDO TRABALHISTA DO BRASIL;PSDC / PT do B;1488	
VICENTE SOBRINHO;13777;PARTIDO DOS TRABALHADORES;PT;1481	
ZE DA CRUZ;13234;PARTIDO DOS TRABALHADORES;PT;1453	
PASTOR SOARES;17144;PARTIDO SOCIAL LIBERAL;PRP / PSL / PHS;1348	
HUMBERTO COELHO;13678;PARTIDO DOS TRABALHADORES;PT;1342	
ENZO SAMUEL;65222;PARTIDO COMUNISTA DO BRASIL;PC do B;1314	
CAETANO;40555;PARTIDO SOCIALISTA BRASILEIRO;PRB / PMN / PSB;1314	
RONALDO CHAVES;43888;PARTIDO VERDE;PR / PV;1296	
NETO DO ANGELIM;25789;DEMOCRATAS;DEM;1250	
ZE PINGUELO;23123;PARTIDO POPULAR SOCIALISTA;PSC / PPS;1239	
PROF. HANDS;43456;PARTIDO VERDE;PR / PV;1214	
ROBERTO VIANA;27890;PARTIDO SOCIAL DEMOCRATA CRISTAO;PSDC / PT do B;1202	
TOURINHO;40111;PARTIDO SOCIALISTA BRASILEIRO;PRB / PMN / PSB;1188	
CHIMBA;40500;PARTIDO SOCIALISTA BRASILEIRO;PRB / PMN / PSB;1184	
ITALO RODRIGUES;19123;PARTIDO TRABALHISTA NACIONAL;PTN / PTC;1124	
J. FRANCO;36007;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;1096	
ANSELMO DIAS;65655;PARTIDO COMUNISTA DO BRASIL;PC do B;1079	
MAURO EDUARDO;13654;PARTIDO DOS TRABALHADORES;PT;1079	
GONCALINHO;31123;PARTIDO HUMANISTA DA SOLIDARIEDADE;PRP / PSL / PHS;1043	
ERICO LUIZ;36223;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;1030	
JOAQUIM JUNIOR;27133;PARTIDO SOCIAL DEMOCRATA CRISTAO;PSDC / PT do B;1024	
PROFESSOR LIBONATO;36234;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;1023	
ANCHIETA ARAUJO;40963;PARTIDO SOCIALISTA BRASILEIRO;PRB / PMN / PSB;1004	
ARNALDO MOREIRA;15222;PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO;PMDB;1000	
NONATO;23222;PARTIDO POPULAR SOCIALISTA;PSC / PPS;999	
MONTEIRO;25225;DEMOCRATAS;DEM;996	
CAPITAO EDMAR;23453;PARTIDO POPULAR SOCIALISTA;PSC / PPS;985	
MERCEDES BACELAR;11999;PARTIDO PROGRESSISTA;PP / PDT;980	
MESSIAS JUINIOR;40333;PARTIDO SOCIALISTA BRASILEIRO;PRB / PMN / PSB;975	
EZEQUIAS AG.DE SAUDE;19999;PARTIDO TRABALHISTA NACIONAL;PTN / PTC;973	
PANTIKAO;27123;PARTIDO SOCIAL DEMOCRATA CRISTAO;PSDC / PT do B;960	
DR. RENATO RUBENS;36222;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;958	
MAJOR SOBRINHO DO ZE DE FATIMA;25777;DEMOCRATAS;DEM;955	
FLORENTINO;43431;PARTIDO VERDE;PR / PV;949	
ISMAR TAVARES;43121;PARTIDO VERDE;PR / PV;899	
ANTONIO NASCIMENTO;25678;DEMOCRATAS;DEM;898	
EDMO;23114;PARTIDO POPULAR SOCIALISTA;PSC / PPS;885	
DOMINGOS MARQUES;40000;PARTIDO SOCIALISTA BRASILEIRO;PRB / PMN / PSB;873	
BRITO BOSON;23432;PARTIDO POPULAR SOCIALISTA;PSC / PPS;853	
CHICO DIMAS;43623;PARTIDO VERDE;PR / PV;849	
ODALY	ODALY MEDEIROS;11555;PARTIDO PROGRESSISTA;PP / PDT;836
ASSUNCAO AGUIAR;13713;PARTIDO DOS TRABALHADORES;PT;835	
MILTON CARVALHO;11222;PARTIDO PROGRESSISTA;PP / PDT;829	
PROF. JEAN;27007;PARTIDO SOCIAL DEMOCRATA CRISTAO;PSDC / PT do B;828	
CARLOS PARRELA;36555;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;814	
ERNESTO;70888;PARTIDO TRABALHISTA DO BRASIL;PSDC / PT do B;810	
RENATO METALTETO;36333;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;800	
VILMAR DA LIMPEZA;44145;PARTIDO REPUBLICANO PROGRESSISTA;PRP / PSL / PHS;786	
PROF: SUCUPIRA;43221;PARTIDO VERDE;PR / PV;784	
DARIO TORRES;23221;PARTIDO POPULAR SOCIALISTA;PSC / PPS;773	
RAIMUNDO FONSECA;11333;PARTIDO PROGRESSISTA;PP / PDT;770	
LAURINHA;14763;PARTIDO TRABALHISTA BRASILEIRO;PTB / PRTB / PPL;760	
DORINHA;70113;PARTIDO TRABALHISTA DO BRASIL;PSDC / PT do B;750	
CONSELHEIRA ANA AMELIA;23544;PARTIDO POPULAR SOCIALISTA;PSC / PPS;746	
FLORENCIO;23300;PARTIDO POPULAR SOCIALISTA;PSC / PPS;742	
RONYER;27233;PARTIDO SOCIAL DEMOCRATA CRISTAO;PSDC / PT do B;741	
IRMAO JONAS;17000;PARTIDO SOCIAL LIBERAL;PRP / PSL / PHS;741	
JACINTO TELES;36678;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;733	
PAULO SILVA;36500;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;727	
FLAVIANO CAMPOS;13999;PARTIDO DOS TRABALHADORES;PT;724	
JC;27456;PARTIDO SOCIAL DEMOCRATA CRISTAO;PSDC / PT do B;722	
ISAIAS ARAUJO;36322;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;710	
MARIAZINHA - MARIOLA;11112;PARTIDO PROGRESSISTA;PP / PDT;701	
CORTEZ;27773;PARTIDO SOCIAL DEMOCRATA CRISTAO;PSDC / PT do B;700	
RIBAMAR TORRES;40444;PARTIDO SOCIALISTA BRASILEIRO;PRB / PMN / PSB;688	
FONTENELE;43777;PARTIDO VERDE;PR / PV;673	
FABRICIO SOUSA;14333;PARTIDO TRABALHISTA BRASILEIRO;PTB / PRTB / PPL;670	
LESSA;23789;PARTIDO POPULAR SOCIALISTA;PSC / PPS;664	
PROFESSOR CLEMILTON;15510;PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO;PMDB;656	
PROFESSORA ROSARIO BORGES;23111;PARTIDO POPULAR SOCIALISTA;PSC / PPS;650	
DILSON REZENDE;27111;PARTIDO SOCIAL DEMOCRATA CRISTAO;PSDC / PT do B;650	
NILSON SANTOS;23120;PARTIDO POPULAR SOCIALISTA;PSC / PPS;641	
FATINHA;65555;PARTIDO COMUNISTA DO BRASIL;PC do B;638	
NEWTON BANDEIRA;23555;PARTIDO POPULAR SOCIALISTA;PSC / PPS;635	
JOSE MOURA;40852;PARTIDO SOCIALISTA BRASILEIRO;PRB / PMN / PSB;633	
ROBERT DIAS;36777;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;628	
DR. MARCUS SABRY;12222;PARTIDO DEMOCRATICO TRABALHISTA;PP / PDT;623	
ANCHIETA;25001;DEMOCRATAS;DEM;620	
LUIS GONZAGA;27369;PARTIDO SOCIAL DEMOCRATA CRISTAO;PSDC / PT do B;616	
ANTONIO JOSE (O BICUDO);11114;PARTIDO PROGRESSISTA;PP / PDT;614	
MARCONI LOBINHO;23223;PARTIDO POPULAR SOCIALISTA;PSC / PPS;612	
DR. FONSECA JUNIOR;36987;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;609	
MARCOS OLIVEIRA;17300;PARTIDO SOCIAL LIBERAL;PRP / PSL / PHS;597	
PROFESSOR WHILAMI CABRAL;36236;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;589	
PROFESSOR KLEBER IBIAPINA;65001;PARTIDO COMUNISTA DO BRASIL;PC do B;587	
CHIQUIM BRANDAO;43321;PARTIDO VERDE;PR / PV;577	
CAIQUE MENDES;23545;PARTIDO POPULAR SOCIALISTA;PSC / PPS;569	
MAJOR PAULO ROBERTO;55333;PARTIDO SOCIAL DEMOCRATICO;PSDB / PSD;7392	
SOLDADO IVO;27190;PARTIDO SOCIAL DEMOCRATA CRISTAO;PSDC / PT do B;568	
RILDO;11888;PARTIDO PROGRESSISTA;PP / PDT;545	
SILMARA CASTRO;65213;PARTIDO COMUNISTA DO BRASIL;PC do B;540	
JOABE;22456;PARTIDO DA REPUBLICA;PR / PV;534	
DR.ROBERTO WANDERLAN;43343;PARTIDO VERDE;PR / PV;534	
FRANCISCA SANTANA;25252;DEMOCRATAS;DEM;525	
CICERO SANTOS;70456;PARTIDO TRABALHISTA DO BRASIL;PSDC / PT do B;519	
ALVARO DO SHOPPING;44000;PARTIDO REPUBLICANO PROGRESSISTA;PRP / PSL / PHS;517	
ALBERTO SILVA;15456;PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO;PMDB;514	
ASSUNCAO;23654;PARTIDO POPULAR SOCIALISTA;PSC / PPS;513	
GERSON FONTES;36788;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;507	
DR. ROBERTO MELADO;43555;PARTIDO VERDE;PR / PV;506	
SGT.CARLOS;19000;PARTIDO TRABALHISTA NACIONAL;PTN / PTC;506	
JOTAO;65333;PARTIDO COMUNISTA DO BRASIL;PC do B;499	
FRANCISCO LOPES;27852;PARTIDO SOCIAL DEMOCRATA CRISTAO;PSDC / PT do B;495	
JOSELITO DO KARATE;54777;PARTIDO PATRIA LIVRE;PTB / PRTB / PPL;491	
ROGERIO CARDOSO;65110;PARTIDO COMUNISTA DO BRASIL;PC do B;485	
LAECIO BORGES;44123;PARTIDO REPUBLICANO PROGRESSISTA;PRP / PSL / PHS;482	
JAILTON SAMPAIO - JAJA;43123;PARTIDO VERDE;PR / PV;481	
ANTONIO JOSE SARGENTO GEREBA;23133;PARTIDO POPULAR SOCIALISTA;PSC / PPS;473	
PROFESSOR ALVARO MOREIRA;36361;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;469	
EVALDO LIMA;70256;PARTIDO TRABALHISTA DO BRASIL;PSDC / PT do B;467	
NUBIA SAMPAIO;70117;PARTIDO TRABALHISTA DO BRASIL;PSDC / PT do B;464	
